20news-50	cos	0.6	010	0.447	0.076
20news-50	cos	0.6	020	0.454	0.078
20news-50	cos	0.6	030	0.461	0.085
20news-50	cos	0.6	040	0.467	0.088
20news-50	cos	0.6	050	0.466	0.090
20news-50	cos	0.6	060	0.467	0.089
20news-50	cos	0.6	070	0.468	0.089
20news-50	cos	0.6	080	0.466	0.088
20news-50	cos	0.6	090	0.468	0.088
20news-50	cos	0.6	100	0.468	0.088
20news-50	cos	0.6	110	0.466	0.089
20news-50	cos	0.6	120	0.468	0.088
20news-50	cos	0.6	130	0.468	0.088
20news-50	cos	0.6	140	0.468	0.088
20news-50	cos	0.6	150	0.468	0.089
20news-50	cos	0.6	160	0.467	0.087
20news-50	cos	0.6	170	0.467	0.087
20news-50	cos	0.6	180	0.467	0.087
20news-50	cos	0.6	190	0.468	0.086
20news-50	cos	0.6	200	0.468	0.086
20news-50	cos	0.8	000	0.419	0.068
20news-50	cos	0.8	010	0.451	0.070
20news-50	cos	0.8	020	0.455	0.072
20news-50	cos	0.8	030	0.458	0.073
20news-50	cos	0.8	040	0.459	0.074
20news-50	cos	0.8	050	0.461	0.079
20news-50	cos	0.8	060	0.460	0.079
20news-50	cos	0.8	070	0.460	0.081
20news-50	cos	0.8	080	0.460	0.078
20news-50	cos	0.8	090	0.460	0.079
20news-50	cos	0.8	100	0.462	0.078
20news-50	cos	0.8	110	0.463	0.078
20news-50	cos	0.8	120	0.462	0.079
20news-50	cos	0.8	130	0.462	0.079
20news-50	cos	0.8	140	0.463	0.077
20news-50	cos	0.8	150	0.462	0.077
20news-50	cos	0.8	160	0.464	0.076
20news-50	cos	0.8	170	0.462	0.076
20news-50	cos	0.8	180	0.461	0.078
20news-50	cos	0.8	190	0.460	0.077
20news-50	cos	0.8	200	0.461	0.077
20news-50	cos	1.0	000	0.419	0.068
20news-50	cos	1.0	010	0.450	0.071
20news-50	cos	1.0	020	0.462	0.069
20news-50	cos	1.0	030	0.471	0.066
20news-50	cos	1.0	040	0.477	0.069
20news-50	cos	1.0	050	0.483	0.069
20news-50	cos	1.0	060	0.485	0.073
20news-50	cos	1.0	070	0.487	0.075
20news-50	cos	1.0	080	0.485	0.074
20news-50	cos	1.0	090	0.490	0.074
20news-50	cos	1.0	100	0.490	0.073
20news-50	cos	1.0	110	0.493	0.071
20news-50	cos	1.0	120	0.493	0.071
20news-50	cos	1.0	130	0.493	0.070
20news-50	cos	1.0	140	0.494	0.072
20news-50	cos	1.0	150	0.496	0.073
20news-50	cos	1.0	160	0.499	0.075
20news-50	cos	1.0	170	0.500	0.076
20news-50	cos	1.0	180	0.501	0.078
20news-50	cos	1.0	190	0.502	0.079
20news-50	cos	1.0	200	0.502	0.079
200	cos	0.0	000	0.419	0.067
200	cos	0.0	010	0.417	0.071
200	cos	0.0	020	0.417	0.070
200	cos	0.0	030	0.422	0.067
200	cos	0.0	040	0.423	0.078
200	cos	0.0	050	0.423	0.073
200	cos	0.0	060	0.418	0.071
200	cos	0.0	070	0.420	0.070
200	cos	0.0	080	0.422	0.074
200	cos	0.0	090	0.421	0.072
200	cos	0.0	100	0.419	0.072
200	cos	0.0	110	0.425	0.072
200	cos	0.0	120	0.422	0.065
200	cos	0.0	130	0.420	0.072
200	cos	0.0	140	0.419	0.069
200	cos	0.0	150	0.420	0.074
200	cos	0.0	160	0.415	0.068
200	cos	0.0	170	0.416	0.067
200	cos	0.0	180	0.419	0.071
200	cos	0.0	190	0.421	0.076
200	cos	0.0	200	0.420	0.070
200	cos	0.05	000	0.419	0.067
200	cos	0.05	010	0.435	0.079
200	cos	0.05	020	0.443	0.080
200	cos	0.05	030	0.441	0.080
200	cos	0.05	040	0.442	0.077
200	cos	0.05	050	0.442	0.077
200	cos	0.05	060	0.448	0.079
200	cos	0.05	070	0.448	0.080
200	cos	0.05	080	0.451	0.080
200	cos	0.05	090	0.453	0.077
200	cos	0.05	100	0.452	0.077
200	cos	0.05	110	0.453	0.077
200	cos	0.05	120	0.453	0.078
200	cos	0.05	130	0.454	0.077
200	cos	0.05	140	0.455	0.077
200	cos	0.05	150	0.456	0.077
200	cos	0.05	160	0.452	0.077
200	cos	0.05	170	0.454	0.077
200	cos	0.05	180	0.459	0.076
200	cos	0.05	190	0.459	0.076
200	cos	0.05	200	0.458	0.077
200	cos	0.1	000	0.419	0.067
200	cos	0.1	010	0.438	0.076
200	cos	0.1	020	0.445	0.071
200	cos	0.1	030	0.449	0.079
200	cos	0.1	040	0.451	0.080
200	cos	0.1	050	0.448	0.076
200	cos	0.1	060	0.450	0.077
200	cos	0.1	070	0.450	0.078
200	cos	0.1	080	0.451	0.076
200	cos	0.1	090	0.452	0.077
200	cos	0.1	100	0.453	0.077
200	cos	0.1	110	0.454	0.079
200	cos	0.1	120	0.453	0.078
200	cos	0.1	130	0.451	0.078
200	cos	0.1	140	0.452	0.078
200	cos	0.1	150	0.453	0.078
200	cos	0.1	160	0.452	0.077
200	cos	0.1	170	0.448	0.077
200	cos	0.1	180	0.448	0.077
200	cos	0.1	190	0.448	0.076
200	cos	0.1	200	0.448	0.076
200	cos	0.2	000	0.419	0.067
200	cos	0.2	010	0.428	0.084
200	cos	0.2	020	0.436	0.086
200	cos	0.2	030	0.439	0.090
200	cos	0.2	040	0.439	0.087
200	cos	0.2	050	0.443	0.084
200	cos	0.2	060	0.441	0.083
200	cos	0.2	070	0.441	0.085
200	cos	0.2	080	0.443	0.081
200	cos	0.2	090	0.445	0.082
200	cos	0.2	100	0.449	0.081
200	cos	0.2	110	0.451	0.081
200	cos	0.2	120	0.449	0.081
200	cos	0.2	130	0.449	0.081
200	cos	0.2	140	0.447	0.081
200	cos	0.2	150	0.449	0.083
200	cos	0.2	160	0.449	0.082
200	cos	0.2	170	0.451	0.082
200	cos	0.2	180	0.447	0.083
200	cos	0.2	190	0.447	0.083
200	cos	0.2	200	0.447	0.086
200	cos	0.3	000	0.419	0.067
200	cos	0.3	010	0.443	0.081
200	cos	0.3	020	0.442	0.082
200	cos	0.3	030	0.441	0.083
200	cos	0.3	040	0.445	0.084
200	cos	0.3	050	0.445	0.085
200	cos	0.3	060	0.446	0.086
200	cos	0.3	070	0.447	0.084
200	cos	0.3	080	0.449	0.084
200	cos	0.3	090	0.449	0.083
200	cos	0.3	100	0.446	0.083
200	cos	0.3	110	0.448	0.084
200	cos	0.3	120	0.447	0.081
200	cos	0.3	130	0.447	0.082
200	cos	0.3	140	0.448	0.083
200	cos	0.3	150	0.448	0.083
200	cos	0.3	160	0.448	0.082
200	cos	0.3	170	0.448	0.083
200	cos	0.3	180	0.448	0.083
200	cos	0.3	190	0.448	0.082
200	cos	0.3	200	0.448	0.082
200	cos	0.5	000	0.419	0.067
200	cos	0.5	010	0.435	0.090
200	cos	0.5	020	0.438	0.087
200	cos	0.5	030	0.438	0.081
200	cos	0.5	040	0.437	0.082
200	cos	0.5	050	0.438	0.081
200	cos	0.5	060	0.440	0.083
200	cos	0.5	070	0.441	0.084
200	cos	0.5	080	0.442	0.083
200	cos	0.5	090	0.443	0.083
200	cos	0.5	100	0.445	0.084
200	cos	0.5	110	0.446	0.084
200	cos	0.5	120	0.449	0.084
200	cos	0.5	130	0.448	0.085
200	cos	0.5	140	0.448	0.084
200	cos	0.5	150	0.449	0.084
200	cos	0.5	160	0.448	0.083
200	cos	0.5	170	0.447	0.083
200	cos	0.5	180	0.446	0.083
200	cos	0.5	190	0.446	0.083
200	cos	0.5	200	0.445	0.083
200	cos	0.6	000	0.419	0.067
200	cos	0.6	010	0.431	0.086
200	cos	0.6	020	0.436	0.084
200	cos	0.6	030	0.436	0.081
200	cos	0.6	040	0.441	0.080
200	cos	0.6	050	0.439	0.079
200	cos	0.6	060	0.443	0.078
200	cos	0.6	070	0.444	0.078
200	cos	0.6	080	0.442	0.078
200	cos	0.6	090	0.443	0.079
200	cos	0.6	100	0.443	0.078
200	cos	0.6	110	0.444	0.076
200	cos	0.6	120	0.444	0.076
200	cos	0.6	130	0.443	0.078
200	cos	0.6	140	0.444	0.077
200	cos	0.6	150	0.443	0.078
200	cos	0.6	160	0.444	0.079
200	cos	0.6	170	0.444	0.078
200	cos	0.6	180	0.445	0.078
200	cos	0.6	190	0.446	0.078
200	cos	0.6	200	0.447	0.078
200	cos	0.8	000	0.419	0.067
200	cos	0.8	010	0.430	0.078
200	cos	0.8	020	0.421	0.078
200	cos	0.8	030	0.423	0.076
200	cos	0.8	040	0.420	0.077
200	cos	0.8	050	0.418	0.077
200	cos	0.8	060	0.420	0.079
200	cos	0.8	070	0.420	0.077
200	cos	0.8	080	0.422	0.077
200	cos	0.8	090	0.422	0.078
200	cos	0.8	100	0.423	0.078
200	cos	0.8	110	0.425	0.078
200	cos	0.8	120	0.427	0.077
200	cos	0.8	130	0.424	0.075
200	cos	0.8	140	0.426	0.075
200	cos	0.8	150	0.426	0.076
200	cos	0.8	160	0.427	0.076
200	cos	0.8	170	0.428	0.075
200	cos	0.8	180	0.428	0.075
200	cos	0.8	190	0.428	0.075
200	cos	0.8	200	0.427	0.074
200	cos	1.0	000	0.419	0.067
200	cos	1.0	010	0.411	0.071
200	cos	1.0	020	0.418	0.070
200	cos	1.0	030	0.422	0.066
200	cos	1.0	040	0.418	0.067
200	cos	1.0	050	0.413	0.067
200	cos	1.0	060	0.407	0.067
200	cos	1.0	070	0.408	0.069
200	cos	1.0	080	0.403	0.068
200	cos	1.0	090	0.401	0.069
200	cos	1.0	100	0.401	0.069
200	cos	1.0	110	0.401	0.069
200	cos	1.0	120	0.401	0.069
200	cos	1.0	130	0.401	0.069
200	cos	1.0	140	0.401	0.069
200	cos	1.0	150	0.401	0.069
200	cos	1.0	160	0.401	0.069
200	cos	1.0	170	0.401	0.069
200	cos	1.0	180	0.401	0.069
200	cos	1.0	190	0.401	0.069
200	cos	1.0	200	0.401	0.069
