0.002	0.005	0.409	0.061
0.002	0.01	0.391	0.056
0.002	0.02	0.403	0.052
0.002	0.05	0.407	0.057
0.002	0.1	0.406	0.056
0.005	0.002	0.401	0.057
0.005	0.005	0.412	0.058
0.005	0.01	0.398	0.062
0.005	0.02	0.401	0.065
0.005	0.05	0.406	0.063
0.005	0.1	0.397	0.055
0.01	0.002	0.394	0.051
0.01	0.005	0.400	0.058
0.01	0.01	0.400	0.047
0.01	0.02	0.401	0.061
0.01	0.05	0.404	0.056
0.01	0.1	0.405	0.056
0.02	0.002	0.402	0.055
0.02	0.005	0.397	0.051
0.02	0.01	0.394	0.055
0.02	0.02	0.406	0.053
0.02	0.05	0.404	0.060
0.02	0.1	0.396	0.051
0.05	0.002	0.407	0.057
0.05	0.005	0.407	0.066
0.05	0.01	0.396	0.050
0.05	0.02	0.392	0.052
0.05	0.05	0.406	0.064
0.05	0.1	0.400	0.051
