200	cos	0.0	5	070	0.419	0.068
200	cos	0.0	5	080	0.419	0.069
200	cos	0.0	5	090	0.420	0.071
200	cos	0.0	5	100	0.424	0.069
200	cos	0.0	5	110	0.422	0.072
200	cos	0.0	5	120	0.422	0.072
200	cos	0.0	5	130	0.420	0.068
200	cos	0.0	5	140	0.418	0.069
200	cos	0.0	5	150	0.417	0.070
200	cos	0.0	5	160	0.419	0.071
200	cos	0.0	5	170	0.421	0.070
200	cos	0.0	5	180	0.421	0.070
200	cos	0.0	5	190	0.418	0.073
200	cos	0.0	5	200	0.420	0.069
200	cos	0.0	50	000	0.419	0.067
200	cos	0.0	50	010	0.421	0.072
200	cos	0.0	50	020	0.416	0.068
200	cos	0.0	50	030	0.418	0.071
200	cos	0.0	50	040	0.421	0.075
200	cos	0.0	50	050	0.419	0.070
200	cos	0.0	50	060	0.420	0.069
200	cos	0.0	50	070	0.419	0.071
200	cos	0.0	50	080	0.423	0.073
200	cos	0.0	50	090	0.423	0.073
200	cos	0.0	50	100	0.415	0.070
200	cos	0.0	50	110	0.416	0.071
200	cos	0.0	50	120	0.419	0.070
200	cos	0.0	50	130	0.418	0.074
200	cos	0.0	50	140	0.421	0.064
200	cos	0.0	50	150	0.419	0.071
200	cos	0.0	50	160	0.418	0.071
200	cos	0.0	50	170	0.421	0.072
200	cos	0.0	50	180	0.421	0.073
200	cos	0.0	50	190	0.416	0.073
200	cos	0.0	50	200	0.420	0.068
200	cos	0.05	1	000	0.419	0.067
200	cos	0.05	1	010	0.430	0.078
200	cos	0.05	1	020	0.430	0.085
200	cos	0.05	1	030	0.439	0.094
200	cos	0.05	1	040	0.442	0.095
200	cos	0.05	1	050	0.446	0.095
200	cos	0.05	1	060	0.448	0.093
200	cos	0.05	1	070	0.450	0.092
200	cos	0.05	1	080	0.452	0.093
200	cos	0.05	1	090	0.451	0.090
200	cos	0.05	1	100	0.454	0.090
200	cos	0.05	1	110	0.452	0.088
200	cos	0.05	1	120	0.451	0.087
200	cos	0.05	1	130	0.451	0.089
200	cos	0.05	1	140	0.449	0.087
200	cos	0.05	1	150	0.453	0.085
200	cos	0.05	1	160	0.453	0.088
200	cos	0.05	1	170	0.454	0.086
200	cos	0.05	1	180	0.457	0.085
200	cos	0.05	1	190	0.455	0.086
200	cos	0.05	1	200	0.457	0.088
200	cos	0.05	10	000	0.419	0.067
200	cos	0.05	10	010	0.429	0.077
200	cos	0.05	10	020	0.438	0.083
200	cos	0.05	10	030	0.436	0.083
200	cos	0.05	10	040	0.441	0.080
200	cos	0.05	10	050	0.441	0.080
200	cos	0.05	10	060	0.441	0.080
200	cos	0.05	10	070	0.443	0.076
200	cos	0.05	10	080	0.440	0.077
200	cos	0.05	10	090	0.441	0.071
200	cos	0.05	10	100	0.442	0.071
200	cos	0.05	10	110	0.439	0.073
200	cos	0.05	10	120	0.440	0.075
200	cos	0.05	10	130	0.442	0.075
200	cos	0.05	10	140	0.439	0.073
200	cos	0.05	10	150	0.443	0.075
200	cos	0.05	10	160	0.443	0.075
200	cos	0.05	10	170	0.444	0.076
200	cos	0.05	10	180	0.447	0.077
200	cos	0.05	10	190	0.447	0.077
200	cos	0.05	10	200	0.446	0.077
200	cos	0.05	100	000	0.419	0.067
200	cos	0.05	100	010	0.422	0.073
200	cos	0.05	100	020	0.435	0.082
200	cos	0.05	100	030	0.433	0.080
200	cos	0.05	100	040	0.420	0.071
200	cos	0.05	100	050	0.424	0.072
200	cos	0.05	100	060	0.425	0.075
200	cos	0.05	100	070	0.428	0.075
200	cos	0.05	100	080	0.431	0.076
200	cos	0.05	100	090	0.436	0.079
200	cos	0.05	100	100	0.436	0.080
200	cos	0.05	100	110	0.438	0.083
200	cos	0.05	100	120	0.437	0.079
200	cos	0.05	100	130	0.435	0.080
200	cos	0.05	100	140	0.439	0.080
200	cos	0.05	100	150	0.443	0.081
200	cos	0.05	100	160	0.443	0.080
200	cos	0.05	100	170	0.441	0.082
200	cos	0.05	100	180	0.442	0.081
200	cos	0.05	100	190	0.443	0.081
200	cos	0.05	100	200	0.443	0.082
200	cos	0.05	2	000	0.419	0.067
200	cos	0.05	2	010	0.432	0.083
200	cos	0.05	2	020	0.438	0.086
200	cos	0.05	2	030	0.443	0.079
200	cos	0.05	2	040	0.448	0.078
200	cos	0.05	2	050	0.452	0.080
200	cos	0.05	2	060	0.446	0.081
200	cos	0.05	2	070	0.449	0.076
200	cos	0.05	2	080	0.452	0.080
200	cos	0.05	2	090	0.450	0.082
200	cos	0.05	2	100	0.451	0.079
200	cos	0.05	2	110	0.449	0.077
200	cos	0.05	2	120	0.450	0.077
200	cos	0.05	2	130	0.449	0.079
200	cos	0.05	2	140	0.449	0.079
200	cos	0.05	2	150	0.448	0.078
200	cos	0.05	2	160	0.449	0.078
200	cos	0.05	2	170	0.448	0.080
200	cos	0.05	2	180	0.451	0.078
200	cos	0.05	2	190	0.449	0.079
200	cos	0.05	2	200	0.451	0.078
200	cos	0.05	20	000	0.419	0.067
200	cos	0.05	20	010	0.431	0.073
200	cos	0.05	20	020	0.438	0.077
200	cos	0.05	20	030	0.445	0.078
200	cos	0.05	20	040	0.446	0.074
200	cos	0.05	20	050	0.446	0.072
200	cos	0.05	20	060	0.446	0.071
200	cos	0.05	20	070	0.447	0.071
200	cos	0.05	20	080	0.447	0.072
200	cos	0.05	20	090	0.451	0.073
200	cos	0.05	20	100	0.448	0.074
200	cos	0.05	20	110	0.452	0.075
200	cos	0.05	20	120	0.451	0.075
200	cos	0.05	20	130	0.450	0.074
200	cos	0.05	20	140	0.449	0.075
200	cos	0.05	20	150	0.451	0.075
200	cos	0.05	20	160	0.451	0.075
200	cos	0.05	20	170	0.452	0.077
200	cos	0.05	20	180	0.454	0.076
200	cos	0.05	20	190	0.455	0.078
200	cos	0.05	20	200	0.453	0.077
200	cos	0.05	3	000	0.419	0.067
200	cos	0.05	3	010	0.428	0.076
200	cos	0.05	3	020	0.437	0.082
200	cos	0.05	3	030	0.436	0.081
200	cos	0.05	3	040	0.441	0.082
200	cos	0.05	3	050	0.441	0.081
200	cos	0.05	3	060	0.444	0.087
200	cos	0.05	3	070	0.446	0.086
200	cos	0.05	3	080	0.448	0.081
200	cos	0.05	3	090	0.451	0.083
200	cos	0.05	3	100	0.452	0.081
200	cos	0.05	3	110	0.454	0.079
200	cos	0.05	3	120	0.459	0.085
200	cos	0.05	3	130	0.460	0.085
200	cos	0.05	3	140	0.463	0.083
200	cos	0.05	3	150	0.462	0.082
200	cos	0.05	3	160	0.462	0.085
200	cos	0.05	3	170	0.462	0.084
200	cos	0.05	3	180	0.462	0.082
200	cos	0.05	3	190	0.462	0.084
200	cos	0.05	3	200	0.461	0.082
200	cos	0.05	5	000	0.419	0.067
200	cos	0.05	5	010	0.427	0.076
200	cos	0.05	5	020	0.432	0.075
200	cos	0.05	5	030	0.442	0.079
200	cos	0.05	5	040	0.443	0.080
200	cos	0.05	5	050	0.444	0.078
200	cos	0.05	5	060	0.448	0.079
200	cos	0.05	5	070	0.447	0.078
200	cos	0.05	5	080	0.450	0.079
200	cos	0.05	5	090	0.452	0.080
200	cos	0.05	5	100	0.452	0.077
200	cos	0.05	5	110	0.446	0.080
200	cos	0.05	5	120	0.450	0.081
200	cos	0.05	5	130	0.453	0.080
200	cos	0.05	5	140	0.450	0.081
200	cos	0.05	5	150	0.449	0.077
200	cos	0.05	5	160	0.445	0.079
200	cos	0.05	5	170	0.447	0.079
200	cos	0.05	5	180	0.448	0.078
200	cos	0.05	5	190	0.448	0.078
200	cos	0.05	5	200	0.448	0.077
200	cos	0.05	50	000	0.419	0.067
200	cos	0.05	50	010	0.430	0.070
200	cos	0.05	50	020	0.434	0.078
200	cos	0.05	50	030	0.440	0.085
