0.002	0.002	0.424	0.068
0.002	0.005	0.424	0.064
0.002	0.01	0.428	0.073
0.002	0.02	0.414	0.078
0.002	0.05	0.414	0.065
0.002	0.1	0.419	0.069
0.005	0.002	0.424	0.077
0.005	0.005	0.432	0.076
0.005	0.01	0.419	0.073
0.005	0.02	0.420	0.072
0.005	0.05	0.412	0.071
0.005	0.1	0.430	0.076
0.01	0.002	0.413	0.066
0.01	0.005	0.424	0.075
0.01	0.01	0.421	0.072
0.01	0.02	0.434	0.065
0.01	0.05	0.420	0.071
0.01	0.1	0.416	0.068
0.02	0.002	0.416	0.065
0.02	0.005	0.429	0.068
0.02	0.01	0.417	0.070
0.02	0.02	0.420	0.067
0.02	0.05	0.422	0.079
0.02	0.1	0.417	0.067
0.05	0.002	0.423	0.065
0.05	0.005	0.427	0.074
0.05	0.01	0.415	0.067
0.05	0.02	0.432	0.065
0.05	0.05	0.415	0.071
0.05	0.1	0.426	0.074
